pair,expiry,entry,exit,direction,hold,gross,cost,net
GOLDTEN/GOLDPETAL,2025-10-31,2025-10-20,2025-10-27,1,5,-30199.99999999891,10985.621057445383,-41185.621057444296
GOLDTEN/GOLDPETAL,2025-11-28,2025-10-20,2025-11-11,1,16,-21299.999999999272,10471.926814645958,-31771.92681464523
GOLDTEN/GOLDPETAL,2025-11-28,2025-11-17,2025-11-24,1,5,55700.00000000073,10626.106373307706,45073.893626693025
GOLDTEN/GOLDPETAL,2025-12-31,2025-11-05,2025-11-27,1,16,2399.999999999636,10983.270993721377,-8583.27099372174
GOLDTEN/GOLDPETAL,2025-12-31,2025-12-09,2025-12-26,1,12,-66100.00000000036,11265.896950170423,-77365.89695017079
GOLDTEN/GOLDPETAL,2026-01-30,2025-10-20,2025-11-11,1,16,22200.000000000728,12191.871685566763,10008.128314433965
GOLDTEN/GOLDPETAL,2026-01-30,2025-11-20,2025-12-12,1,16,35399.999999999636,10985.151144016963,24414.848855982673
GOLDTEN/GOLDPETAL,2026-01-30,2025-12-30,2026-01-21,1,16,-377400.00000000146,11985.083624430783,-389385.0836244322
GOLDTEN/GOLDPETAL,2026-02-27,2025-10-20,2025-11-11,1,16,-4700.000000000728,18127.429051744803,-22827.42905174553
GOLDTEN/GOLDPETAL,2026-02-27,2025-11-21,2025-12-15,1,16,-55300.00000000109,12390.134531559388,-67690.13453156048
GOLDTEN/GOLDPETAL,2026-02-27,2025-12-16,2026-01-08,1,16,-42799.99999999927,11802.261916093466,-54602.26191609274
GOLDTEN/GOLDPETAL,2026-03-31,2025-10-07,2025-10-29,-1,16,-87100.00000000038,53265.38047920112,-140365.3804792015
GOLDTEN/GOLDPETAL,2026-03-31,2025-11-10,2025-12-02,1,16,-81399.99999999964,19253.186629213324,-100653.18662921296
GOLDTEN/GOLDPETAL,2026-03-31,2025-12-04,2025-12-29,1,16,-52200.00000000073,15756.126040548977,-67956.1260405497
GOLDTEN/GOLDPETAL,2026-03-31,2025-12-30,2026-01-21,1,16,-529999.9999999981,13352.005839458549,-543352.0058394567
GOLDTEN/GOLDPETAL,2026-04-30,2025-11-06,2025-11-28,1,16,200.0000000007276,94652.97489214774,-94452.97489214702
GOLDTEN/GOLDPETAL,2026-04-30,2025-12-04,2025-12-29,1,16,-129600.00000000036,23968.790595089962,-153568.79059509034
GOLDTEN/GOLDPETAL,2026-04-30,2025-12-30,2026-01-21,1,16,-547699.999999999,15962.847261619328,-563662.8472616182
GOLDTEN/GOLDPETAL,2026-05-29,2025-12-04,2025-12-29,1,16,-73500.00000000001,89175.76829595583,-162675.76829595584
GOLDTEN/GOLDPETAL,2026-05-29,2025-12-30,2026-01-21,1,16,-497700.0000000007,19863.556837796743,-517563.55683779746
